idx,generated_response,ground_truth,load_knowledge_time,generate_time,bert_score
263, Austro-German tradition,Austro-German,0.14127707481384277,17.895206928253174,0.8344440460205078
264, The 12th century.,12th,0.11907148361206055,18.262200593948364,0.4788839817047119
265," ""The Saints""",The Saints,0.13127422332763672,17.827015161514282,0.9045627117156982
266, Wichita and Salina.,Wichita and Salina,0.1286773681640625,18.00498080253601,0.9883187413215637
267, Austria,Austria,0.13297224044799805,17.205679655075073,0.9999999403953552
268, Johann Gottfried Herder was a German philosopher who developed the concept of a German nation and identity.,German philosopher,0.12699079513549805,20.89532160758972,0.607212483882904
269, The Thirty Years' War.,English Civil War,0.11463785171508789,18.18060612678528,0.518311619758606
270, The M3 motorway connects Southampton to London.,M3,0.11832523345947266,18.985761880874634,0.44773679971694946
271, a space,a space,0.15044546127319336,17.43841552734375,1.0
272, The Museum of Archaeology.,Museum of Archaeology,0.1382896900177002,18.157997846603394,0.9767328500747681
273," The term ""ein diutscher"" is first used in the 12th century.",12th century,0.1365969181060791,20.672239065170288,0.48606637120246887
274, North,North,0.13133025169372559,17.243444204330444,1.0
275, The main mechanism for myocardial infarction (MI) is the complete blockage of a coronary artery caused by a rupture of an atherosclerotic plaque.,complete blockage of a coronary artery,0.13036203384399414,23.633151292800903,0.5520955920219421
276, 1966,1966,0.127946138381958,17.540122032165527,1.0
277, The Four-Year Tuition Compact.,Four-Year Tuition Compact,0.1296381950378418,18.40866470336914,0.9324390292167664
278," Redbridge, Southampton.",Redbridge,0.12443971633911133,17.966182708740234,0.8759089708328247
279, City of Southampton Sunday Football League,City of Southampton Sunday Football League,0.14545488357543945,18.170233488082886,0.9999999403953552
280, Undergraduate and graduate programs in business and accounting.,business and accounting,0.1500701904296875,19.060020208358765,0.7128679752349854
281, A non-curriculum course.,non-curriculum,0.13994431495666504,18.164812088012695,0.8352203965187073
282, Theft from a vehicle and violence against the person.,comparative crime statisitics,0.12059593200683594,18.86838150024414,0.38114601373672485
283, Petrus Pitatus of Verona,Petrus Pitatus,0.13854694366455078,18.533494234085083,0.8569916486740112
284, The River Itchen.,Itchen,0.12282562255859375,17.982880353927612,0.7286493182182312
285, Stadtrecht,Stadtrecht,0.1213846206665039,17.403766870498657,1.0000001192092896
286," The Roman Catholic Church and local rulers led German expansion and settlement in areas inhabited by Slavs and Balts, known as Ostsiedlung.",Germanic and Roman peoples intermarried,0.10903453826904297,22.808502197265625,0.4513756036758423
287," Puerto Rico was able to maintain its Spanish language, culture, and identity because it was a relatively small, densely populated island with a large existing population that spoke Spanish, and it was not subject to a massive influx of English speakers like the vast territory acquired from Mexico in the 19th century.","Puerto Rico was able to maintain its Spanish language, culture, and identity because the relatively small, densely populated island",0.13671112060546875,28.47713804244995,0.9161306619644165
288," They may rely on Spanish-language media, such as Spanish-language newspapers, TV channels, and online news sources, to stay informed about current events.","There are 500 Spanish newspapers, 152 magazines, and 205 publishers in the United States; magazine and local television",0.12471771240234375,22.561001777648926,0.4936256408691406
289, The Southampton Sports Centre.,Southampton Sports Centre,0.11948418617248535,17.91634178161621,0.9668275117874146
290, The Community Tool Box.,The Community Tool Box,0.11733365058898926,18.13129997253418,0.9684413075447083
291, Anthony Chenevix-Trench,Anthony Chenevix-Trench,0.12964820861816406,18.480482578277588,1.0
292, Langstone.,Langstone,0.13218426704406738,17.745699882507324,0.9741658568382263
293," San Juan, capital of Puerto Rico.","The oldest city in all of the U.S. territory, as of 1898, is San Juan, capital of Puerto Rico",0.12341928482055664,18.498942136764526,0.6274275779724121
294," The discomfort of MI can feel like tightness, pressure, or squeezing in the chest, and may radiate to the left arm, jaw, neck, back, or upper abdomen.",heartburn,0.13870453834533691,24.195006608963013,0.25723597407341003
295, Bournemouth Symphony Orchestra,Bournemouth Symphony Orchestra,0.12621235847473145,17.75223183631897,0.9999999403953552
296," Germans were threatened by Nationalism, particularly during the 19th century, as it led to the unification of Germany and the exclusion of Austria and other ethnic groups.",aristocratic regimes,0.12833833694458008,23.531609773635864,0.21248534321784973
297, The M27 motorway.,M27,0.1271054744720459,18.13776731491089,0.6900037527084351
298, Their Prussian history.,Prussian history,0.12987446784973145,18.07486391067505,0.884935736656189
299, The London Academy of Excellence.,London Academy of Excellence,0.13704156875610352,18.182743310928345,0.9784098863601685
300, Their Nazi past.,Nazi past,0.11164641380310059,17.737862586975098,0.825089693069458
301, The Tudor House Museum.,Tudor House Museum,0.14649033546447754,18.218855619430542,0.9751436710357666
302, Adolf Hitler,The Nazis,0.11767077445983887,17.54829216003418,0.6417473554611206
303, Pope Gregory VII,Pope Gregory VII,0.11406111717224121,17.657552480697632,0.9999998807907104
304, The Four-Year Tuition Compact was first instituted for first-time freshmen in the 2007-2008 school year.,fixed tuition rate,0.13209939002990723,21.662333488464355,0.39222580194473267
305, 22 March,15th day,0.13664770126342773,17.696650505065918,0.44899818301200867
306, University of Hohenheim,University of Hohenheim,0.1262509822845459,17.984918355941772,1.0
307," The Didcot, Newbury and Southampton Railway.","Didcot, Newbury and Southampton Railway",0.13168668746948242,19.084054231643677,0.9817250967025757
308," The birthday of King George III, Eton's greatest patron.",the birthday of King George III,0.16274666786193848,19.55923366546631,0.7376741170883179
309," James Green, a former dean of the University of Kansas School of Law.",James Green,0.13016819953918457,19.774569272994995,0.7292783856391907
310, The Julian calendar.,Julian,0.12224221229553223,17.792176961898804,0.5512369275093079
311, The early Lynx text-based web browser provided hypertext browsing and navigation prior to the invention of HTTP and HTML.,hypertext browsing and navigation,0.14236092567443848,21.4142746925354,0.634920597076416
312, KU,KU,0.1449892520904541,17.41529393196106,1.0
313, Solent Sky,Solent Sky,0.14162683486938477,17.622376680374146,1.0
314, The Work Group for Community Health and Development.,the Work Group for Community Health and Development,0.13294649124145508,18.690261363983154,0.9931275844573975
315, Portswood,Portswood,0.13476133346557617,17.47403836250305,1.0
316, Karl von Clausewitz,Karl von Clausewitz,0.13693666458129883,18.00480079650879,1.0000001192092896
317, Charlemagne,king Charlemagne,0.13637971878051758,17.555130004882812,0.9309912919998169
318, 3,three,0.1212468147277832,17.455427169799805,0.8656187057495117
319, Yes.,New Mexico is commonly thought to have Spanish as an official language alongside English because of its wide usage and legal promotion of Spanish in the state,0.12314033508300781,17.448909759521484,0.01703890971839428
320, 3,three,0.1301133632659912,17.51833152770996,0.8656187057495117
321, Wotton’s,Wine and Wotton’s,0.14317584037780762,17.6037540435791,0.7568155527114868
322, The University of Kansas' William Allen White School of Journalism and Mass Communications.,William Allen White School of Journalism,0.12808918952941895,20.039074420928955,0.8682973980903625
323, 1959,1959,0.12888503074645996,17.6612389087677,1.000000238418579
324, Will Champion,Will Champion,0.1339402198791504,17.41684079170227,1.0
325, 1840,1840,0.13832306861877441,17.58324408531189,1.0
326, God's House Tower,God's House Tower,0.13300371170043945,17.861798763275146,1.0
327," No, it wasn't always the case.",following the precedent set by the Bill Clinton administration. Official Spanish translations are available at WhiteHouse.gov.,0.12411332130432129,18.778021097183228,0.04831317812204361
328, 1862,1862,0.13385510444641113,17.63885807991028,1.0000001192092896
329, Wilhelm Conrad Röntgen,Wilhelm Conrad Röntgen,0.11085963249206543,18.173755407333374,1.0
330, Southampton has an oceanic climate (Köppen Cfb).,oceanic,0.12871646881103516,19.752267599105835,0.3911665678024292
331, The Brook,the Dolphin,0.12911009788513184,17.477313995361328,0.3250496983528137
332, 1582,"Friday, 15 October 1582",0.13252782821655273,17.71165108680725,0.6508637070655823
333," The Nicaraguans came to America due to political instability during the end of the 1970s and the 1980s, as well as the Sandinista revolution and the Contra War.",political instability during the end of the 1970s and the 1980s,0.13755106925964355,25.032543659210205,0.5669457316398621
334, The main campus of the University of Kansas.,main campus,0.14457964897155762,18.766612768173218,0.7115532159805298
335, Eastleigh.,Eastleigh,0.1336503028869629,17.728591680526733,0.9816372394561768
336, Canute's Palace.,Canute's Palace,0.11801338195800781,18.008721828460693,0.9898456335067749
337, The Rose Bowl is located in the West End of Southampton.,West End,0.12878084182739258,19.226256847381592,0.2644050419330597
338," ""unfounded and irrelevant.""",unfounded and irrelevant,0.13080906867980957,18.375183820724487,0.7481503486633301
339, Hawthorns Urban Wildlife Centre,Hawthorns Urban Wildlife Centre,0.11656999588012695,18.011861562728882,1.0000001192092896
340," Girls from surrounding schools, such as St George's, Ascot, St Mary's School Ascot, Windsor Girls' School, and Heathfield St Mary's School.",girls from surrounding schools,0.1270143985748291,23.707249879837036,0.6573648452758789
341, Crimson and royal blue.,crimson and royal blue,0.14272260665893555,17.911229133605957,0.9826592803001404
342, Four.,Four,0.1277468204498291,17.454798936843872,0.9432603716850281
343, Trieste,Trieste,0.1308455467224121,17.426458597183228,1.0
344, 1.0%,1.0,0.13373994827270508,18.002363204956055,0.7010407447814941
345, The School of Public Affairs & Administration at the University of Kansas.,the Robert J. Dole Institute of Politics,0.11627388000488281,19.530062675476074,0.41198301315307617
346, Town Quay,Town Quay,0.1430370807647705,17.569862365722656,1.0
347, The academic computing department at the University of Kansas.,academic computing,0.12367582321166992,18.91331696510315,0.7868068218231201
348, German culture and town law.,Stadtrecht,0.1145012378692627,18.28818988800049,0.487205445766449
349, The Roman Catholic Church.,Roman Catholic Church,0.12744665145874023,17.95311951637268,0.9268498420715332
350, Monaco,Monaco,0.1312408447265625,17.38285541534424,1.0
351," The student's House Master, tutor, and division master.","House Master, tutor and division master",0.12804794311523438,19.321264505386353,0.9003384709358215
352, April 1999,April 1999,0.12250804901123047,17.920292139053345,1.0
353, Celts,Celts,0.12845921516418457,17.407915830612183,1.0
354, The Huns.,Roman Empire,0.12740349769592285,17.922301769256592,0.24514219164848328
355," 17,800","17,800",0.12727141380310059,17.82384991645813,1.0000001192092896
356, 9,nine,0.12032032012939453,17.53950595855713,0.9229578971862793
357," Yes, there are similar findings to Calvin Veltman's studies on language shift and assimilation of Hispanic immigrants in the modern age.",data from the 1990 Census tend to confirm the great Anglicization of the US Hispanic American origin population.,0.13166093826293945,22.268760442733765,0.48960810899734497
358, The health and education sector.,health and education,0.14406251907348633,18.280439376831055,0.8415077924728394
359," 26,968","26,968",0.13593149185180664,17.80237627029419,0.9999999403953552
360," £1,945 per pupil per year.","£1,945 per pupil per year",0.12383890151977539,18.83866024017334,0.9907631874084473
361, Normandy.,Normandy,0.12648510932922363,17.607298374176025,0.9656023979187012
362, Verbal bullying.,verbal,0.1099863052368164,17.823421001434326,0.549852728843689
363, The Procession of Boats.,Procession of Boats,0.14012837409973145,18.368878841400146,0.983511745929718
364, 1924,1924,0.1449728012084961,17.557628870010376,1.000000238418579
365, 1952,1952,0.12792396545410156,17.618532419204712,0.9999999403953552
366," A card to be signed by House Master, tutor and division master.",a card,0.1379070281982422,19.73501420021057,0.5461030006408691
367, The first-year boys.,The last boy to arrive,0.1377701759338379,18.023890256881714,0.46536555886268616
368, The northernmost point.,northern,0.12398910522460938,18.064800262451172,0.5993725061416626
369, The Crimean War.,the Crimean war,0.14323091506958008,18.04469060897827,0.9786608219146729
370, 24,24,0.15466642379760742,17.536977529525757,1.0
371, 1970s.,1970s,0.14918017387390137,18.058050632476807,0.9534088373184204
372," Mount Oread, the highest location in Lawrence, is the site of the University of Kansas.",Mount Oread,0.14391279220581055,20.653093099594116,0.6007121801376343
373, Cunard Line,Cunard Line,0.12132835388183594,17.872085571289062,1.0000001192092896
374, Prussia and its allies won the Franco-Prussian War in 1871.,Prussia and its new allies in Southern Germany,0.12957167625427246,20.417824745178223,0.7075259685516357
375, Roman Catholicism.,Roman Catholicism,0.1321697235107422,17.846958875656128,0.9299674034118652
376, The eastern border of the Byzantine Empire.,eastern border,0.14357280731201172,18.738588333129883,0.5819294452667236
377, 1.5 million,1.5 million,0.14793872833251953,17.94628357887268,0.9999998807907104
378, Godolphin House and Jourdelay's.,"Godolphin House, Jourdelay's",0.1191096305847168,18.82968497276306,0.9597719311714172
379, Eton provides the local community with the use of its facilities.,use of its facilities,0.13867545127868652,19.550853967666626,0.45496609807014465
380, Public affairs programs.,public affairs,0.11302924156188965,17.842637062072754,0.812629222869873
381," A boy who accumulates rips is liable to be given a ""White Ticket"", which must be signed by all his teachers.",the boy's housemaster,0.1273951530456543,21.942084550857544,0.26140639185905457
382, The Victorian period.,Victorian period,0.12656021118164062,17.941533088684082,0.9737163782119751
383, 1740,1740,0.12882399559020996,17.738529205322266,1.0000001192092896
384," The London Academy of Excellence is free of charge, whereas Eton College charges up to £11,478 per term.",free of charge,0.1267256736755371,21.572561264038086,0.32267528772354126
385, The popularity of a German identity arose in the aftermath of the French Revolution.,in the aftermath of the French Revolution,0.15088248252868652,19.94835090637207,0.5927904844284058
386, Eton College,Eton,0.12562179565429688,17.570332050323486,0.8903069496154785
387," A House Master is a teacher at Eton College who is responsible for the supervision and guidance of a group of students, known as a House, and is assisted by a tutor.",the teacher who lives in the house and manages the pupils in it,0.12421774864196777,24.035845518112183,0.6176084280014038
388," Old Style (OS) refers to the Julian calendar, which was used before the Gregorian calendar reform in 1582.",Julian calendar,0.12529206275939941,21.85080075263977,0.49529385566711426
389," Calvin Veltman found that Hispanophone immigrants tend to adopt English as their preferred language, especially the young and native-born, with near-complete assimilation within two generations.","high bilingualism rates and subsequent adoption of English as the preferred language of Hispanics, particularly by the young and the native-born.",0.15032005310058594,23.73067593574524,0.6892675757408142
390, 96.1 degrees Fahrenheit.,96.1,0.12906718254089355,18.496774911880493,0.592191755771637
391, The School of the Arts and the School of Public Affairs & Administration.,the School of the Arts and the School of Public Affairs & Administration,0.12161517143249512,19.652534008026123,0.9788521528244019
392," ""dames""","""dames""",0.12101483345031738,17.906075477600098,1.0000001192092896
393, 202,202,0.12868571281433105,17.433149576187134,1.0000001192092896
394, West,north-west,0.12976431846618652,17.300121307373047,0.8307971954345703
395, 21 March.,325,0.12862014770507812,17.740362882614136,0.11764132231473923
396, 1873,1873,0.11952972412109375,17.689274787902832,0.9999999403953552
397, The 1940s.,1940s,0.1330547332763672,18.192647695541382,0.9453063011169434
398," Yes, Spanish is the most widely taught non-English language in American secondary schools and colleges.",More than 1.4 million university students were enrolled in language courses,0.12346863746643066,20.818254470825195,0.4827312231063843
399," No, English was not successful in Puerto Rico as the primary language of instruction in high schools.","It was completely unsuccessful,",0.1244807243347168,20.69084358215332,0.22578543424606323
400, KUpedia,KUpedia,0.13640356063842773,17.57068419456482,1.0
401, The School of Engineering in 1912.,the School of Architecture and Urban Design,0.1352839469909668,18.828487873077393,0.45555853843688965
402, Verbal assault.,verbal,0.12411308288574219,17.90343737602234,0.5930540561676025
403, The University of Kansas.,online,0.12861895561218262,18.115377187728882,0.09190302342176437
404," The Julian calendar had a 0.002% error in the length of the year, resulting in a drift of about 3 days every 400 years.",slightly too long,0.15599966049194336,23.103255033493042,0.17142614722251892
405, 60%,60,0.13004398345947266,17.537121057510376,0.6715091466903687
406, 21 March.,22 March,0.1321735382080078,17.932376384735107,0.9119174480438232
407, A non-metropolitan district.,non-metropolitan district,0.11735701560974121,18.38136863708496,0.9593019485473633
408, Southern Road.,Southern Road,0.14580821990966797,17.72107458114624,0.9743040800094604
409, The Breeze,The Breeze,0.13880109786987305,17.585113763809204,1.0
410," George Lascelles, 7th Earl of Harewood.",George Lascelles,0.14110589027404785,19.87238907814026,0.7380915880203247
411," At least 30,000 daily readers.","at least 30,000",0.13471555709838867,18.72123098373413,0.5771352648735046
412, Adolf Hitler,Adolf Hitler,0.12020754814147949,17.38080859184265,1.0
413, exceedingly clean.,clean,0.12883615493774414,17.62760066986084,0.693160891532898
414," The Gregorian calendar also contains a system of weeks, with a physical or electronic calendar providing conversion from a given date to the weekday, and showing multiple dates for a given weekday and month.",system of weeks,0.13545966148376465,24.460755825042725,0.5967203378677368
415, £200,£200,0.13132572174072266,17.56557822227478,1.0
416, Approximately 100 million.,100 million,0.1225590705871582,17.898736000061035,0.8313291668891907
417, New Style,New Style,0.10595369338989258,17.393444538116455,0.9999999403953552
418, Secretly recording a conversation with a student.,Forsyth's decision to record a conversation with Harry,0.13341021537780762,18.695717811584473,0.30570459365844727
419, 90th among national universities.,90th,0.1405198574066162,18.35374116897583,0.5389592051506042
420, elegant,elegant,0.1208806037902832,17.21704339981079,1.0
421," Amos Adams Lawrence donated $10,000 of the necessary endowment fund.",Amos Adams Lawrence,0.1401965618133545,20.16658639907837,0.6530429124832153
422, The Rose Bowl in West End.,the Rose Bowl,0.1363539695739746,18.3687846660614,0.8815140724182129
423," Overland Park, Kansas.",Overland Park,0.12685179710388184,18.20145606994629,0.8808357119560242
424," Yes, many Venezuelans have migrated to the United States, particularly to Florida, New York City, and Houston, due to economic and political instability in Venezuela.","Between the 18th and early 19th centuries, there were many European immigrants who went to Venezuela",0.13237833976745605,23.335747003555298,0.592726469039917
425, Julian calendar,Julian calendar,0.14079689979553223,17.41374659538269,1.0
426, Three years out of four.,three,0.13550662994384766,18.2006676197052,0.4832170605659485
427, The Queen Elizabeth 2.,RMS Queen Elizabeth 2,0.15200042724609375,18.091899871826172,0.7116758823394775
428, 1290,1290,0.1347029209136963,17.530698776245117,0.9999998807907104
429, Between 12 and 16.5 million.,"12 and 16,5 million ethnic Germans and German citizens",0.13600826263427734,19.036200523376465,0.413449227809906
430, 1648,1648,0.13890480995178223,17.618274688720703,1.0
431, The city centre.,Southampton District Energy Scheme,0.12192034721374512,17.86260223388672,0.28776097297668457
432, The Crusades.,Crusades,0.13720297813415527,17.784114122390747,0.9514925479888916
433, 1 day in 128 years.,1 day in 128 years,0.16405057907104492,18.665993213653564,0.9802092909812927
434, The Mayflower Theatre.,Mayflower Theatre,0.135667085647583,18.004216194152832,0.9732692837715149
435, 59%,59,0.13133502006530762,17.606027364730835,0.6618633270263672
436, 1996,1996,0.1405482292175293,17.55225419998169,1.0
437, Evie Hone,Evie Hone,0.1395401954650879,17.80618381500244,1.0
438, The Berlin International Film Festival is held yearly.,yearly,0.1382584571838379,18.728638648986816,0.35946840047836304
439, The Napoleonic Wars.,Napoleonic Wars,0.13424277305603027,18.253944396972656,0.9524319171905518
440," No, English is the de facto official language of Texas, but it lacks de jure status.",", the continual influx of Spanish-speaking immigrants increased the import of Spanish in Texas.",0.1292707920074463,20.848893642425537,0.49092036485671997
441, 2010,2010,0.12841033935546875,17.60977554321289,1.0
442, Beaks are the teachers at Eton College.,Members of the teaching staff,0.12131309509277344,19.08481454849243,0.4591139853000641
443, 1976,1976,0.14414167404174805,17.601135730743408,1.0
444, Calvin Veltman's study is about the English language adoption by Hispanophone immigrants.,the most complete study of English language adoption by Hispanophone immigrants,0.13930845260620117,20.352121353149414,0.7180399894714355
445," The experience is called ""The Bill"".","the ""Bill""",0.12902569770812988,18.570508241653442,0.6968085765838623
446, Hampshire County Council,Hampshire County Council,0.14267396926879883,17.62047553062439,0.9999998807907104
447," £22,267.","£22,267",0.13803672790527344,17.976165771484375,0.9782264232635498
448," Prior to 15 October 1582, events are usually shown as they appeared on the Julian calendar.",prior to 15 October 1582,0.11047697067260742,21.189698696136475,0.752737283706665
449, The Julian calendar.,Julian,0.14665699005126953,17.91052794456482,0.5512369275093079
450, Every 400 years.,every 400 years,0.12740302085876465,18.05400562286377,0.9837743639945984
451, Restdeutsche,Restdeutsche,0.11400151252746582,17.620173454284668,0.9999999403953552
452," The industry in Southampton supports various types of engineering, including aircraft and car manufacture, cables, electrical engineering products, and petrochemicals.",electrical,0.1433429718017578,22.448306798934937,0.23155267536640167
453, Classical Greek.,Classical Greek,0.12961864471435547,17.554105043411255,0.9724469184875488
454, 354,354,0.11213111877441406,17.52267098426819,1.000000238418579
455, The KU School of Journalism and Mass Communications was ranked second at the prestigious Hearst Foundation national writing competition in 2010.,special education,0.12726569175720215,22.00328230857849,0.11570340394973755
456, Godolphin House and Jourdelay's.,"Godolphin House, Jourdelay's",0.13500332832336426,19.032946348190308,0.9597719311714172
457, They noticed discrepancies in the time when the sun passed through the vernal equinox and the length of the mean tropical year.,discrepancies,0.14232778549194336,21.949753761291504,0.43650662899017334
458, King John,King John,0.12785863876342773,17.43358588218689,1.000000238418579
459, 1066,1066,0.13949108123779297,17.543355464935303,1.0000001192092896
460, 0.002%,0.002%,0.12502408027648926,17.925259828567505,1.0
461, Augustus,Augustus,0.12948393821716309,17.50413179397583,1.0
462, World War II,World War II,0.11762022972106934,17.5302574634552,1.0
463, The Swiss.,ethnic Germans,0.1318042278289795,17.56161093711853,0.44921761751174927
464, KUJH-LP,KUJH-LP,0.1317918300628662,18.05765199661255,1.0
465," ""Crimson and the Blue"" and ""Red and Blue""","""Crimson and the Blue"", ""Red and Blue""",0.12845492362976074,19.64892053604126,0.9878054857254028
466, Southampton Zoo,Southampton Zoo,0.12030839920043945,17.471105813980103,1.0
467, The College Archives for posterity.,College Archives,0.13135075569152832,18.391347646713257,0.8446570634841919
468, Wilhelm Conrad Röntgen,Wilhelm Conrad Röntgen,0.12487125396728516,18.29030752182007,1.0
469, 1845,"In 1846, the Republic dissolved when Texas entered the United States of America as a state.",0.12291073799133301,17.556025505065918,0.33263033628463745
470, Arcadia,Ventura,0.13754820823669434,17.43970489501953,0.28293338418006897
471," The University of Kansas School of Engineering was ranked tied for 90th among national universities in the U.S. News & World Report's ""America’s Best Colleges"" 2016 issue, compared to other national universities.",national universities,0.13416576385498047,25.519733428955078,0.49568966031074524
472, 2009,2009,0.11359286308288574,17.70625329017639,0.9999998211860657
473, Walter Taylor,Walter Taylor,0.13976764678955078,17.314955949783325,1.0
474, Southampton Hockey Club,Southampton Hockey Club,0.13539981842041016,17.69409942626953,1.0000001192092896
475, The Art Vaults project.,Art Vaults,0.1244344711303711,18.039507627487183,0.9271302819252014
476, Eduard Lasker was a German nationalist figure who promoted the unification of Germany in the mid-19th century.,a prominent German nationalist figure who promoted the unification of Germany in the mid-19th century,0.11150813102722168,21.865894556045532,0.7749674320220947
477, £30 million,£30 million,0.13740992546081543,17.689841747283936,1.0000001192092896
478, 2014,2014,0.13140606880187988,17.59945321083069,1.0
479, About 50 boys.,fifty,0.12243175506591797,18.07575511932373,0.4611245393753052
480, Approximately 1500 students.,1500,0.13077688217163086,18.114750623703003,0.4762696921825409
481, The State of the Union Addresses and other presidential speeches are translated to Spanish.,The State of the Union Addresses and other presidential speeches are translated to Spanish,0.12415933609008789,19.843871116638184,0.9922918677330017
482, The Southampton Plot,Southampton Plot,0.13388538360595703,17.582427978515625,0.9745308756828308
483, 1563,1563,0.12977313995361328,17.562455892562866,1.0000001192092896
484, 1821,After the Mexican War of Independence from Spain,0.13298940658569336,17.643869161605835,0.3484393358230591
485, 3,three,0.13114166259765625,17.302486181259155,0.8656187057495117
486, Mansbridge.,Mansbridge,0.1173849105834961,17.687438249588013,0.9813340306282043
487, Southampton's Eastern Docks.,Eastern Docks,0.13976097106933594,18.13402009010315,0.7560320496559143
488, They were expelled to allied-occupied Germany.,allied-occupied Germany,0.11948013305664062,18.768709897994995,0.7057735323905945
489," German is a West Germanic language, related to and classified alongside English and Dutch, and sharing many similarities with the North Germanic and Scandinavian languages.",English and Dutch,0.13051915168762207,22.91558003425598,0.42744600772857666
490, Southampton Test,west,0.12413763999938965,17.518784046173096,0.2005888819694519
491, 1 March 1917,1 March 1917,0.12721872329711914,18.15689516067505,1.0000001192092896
492, Coal City Review,Jayplay magazine,0.13530278205871582,17.690206050872803,0.1550522744655609
493, Dual dating uses two consecutive years to specify the date.,two consecutive years,0.13119006156921387,19.230091333389282,0.5862401127815247
494, Carnival UK,Carnival Corporation & plc,0.11510968208312988,17.405794620513916,0.650099515914917
495," St. Augustine was founded in 1565 by the Spaniards, specifically Juan Ponce de León, who established the settlement as the first permanent European settlement in the continental United States.","the Spaniards, by way of Juan Ponce de León, founded St. Augustine, Florida",0.13271474838256836,24.372111558914185,0.8163208365440369
496, 2007,2007,0.1260981559753418,17.71035408973694,1.0000001192092896
497," 120,305","120,305",0.13491153717041016,17.802457571029663,1.0000001192092896
498, Trojans RFC,Trojans RFC,0.11807012557983398,17.907562732696533,1.0000001192092896
499," When the damage to the heart limits the output of the left ventricle, causing left ventricular failure and pulmonary edema.",heart limits the output of the left ventricle,0.1245882511138916,22.026323080062866,0.7203131914138794
